true,pred,true_label,pred_label
1,1,Edukasi,Edukasi
0,0,Travel,Travel
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
1,1,Edukasi,Edukasi
2,2,Sports,Sports
3,3,Politik,Politik
2,2,Sports,Sports
3,4,Politik,Health
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
1,1,Edukasi,Edukasi
3,3,Politik,Politik
2,2,Sports,Sports
2,2,Sports,Sports
3,0,Politik,Travel
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
0,0,Travel,Travel
3,0,Politik,Travel
3,0,Politik,Travel
1,0,Edukasi,Travel
4,4,Health,Health
1,4,Edukasi,Health
3,3,Politik,Politik
3,0,Politik,Travel
3,0,Politik,Travel
3,3,Politik,Politik
2,2,Sports,Sports
4,0,Health,Travel
0,0,Travel,Travel
2,2,Sports,Sports
2,2,Sports,Sports
3,3,Politik,Politik
3,3,Politik,Politik
3,1,Politik,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,1,Edukasi,Edukasi
4,4,Health,Health
1,3,Edukasi,Politik
4,4,Health,Health
3,3,Politik,Politik
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,2,Politik,Sports
3,3,Politik,Politik
0,0,Travel,Travel
3,0,Politik,Travel
3,3,Politik,Politik
3,4,Politik,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
2,2,Sports,Sports
4,4,Health,Health
3,0,Politik,Travel
3,3,Politik,Politik
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
1,4,Edukasi,Health
3,3,Politik,Politik
4,4,Health,Health
3,3,Politik,Politik
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
3,2,Politik,Sports
2,2,Sports,Sports
4,4,Health,Health
3,3,Politik,Politik
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
4,4,Health,Health
2,0,Sports,Travel
4,4,Health,Health
2,0,Sports,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
1,4,Edukasi,Health
4,4,Health,Health
2,0,Sports,Travel
2,2,Sports,Sports
2,2,Sports,Sports
2,0,Sports,Travel
3,1,Politik,Edukasi
1,1,Edukasi,Edukasi
3,0,Politik,Travel
0,0,Travel,Travel
3,0,Politik,Travel
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
3,0,Politik,Travel
4,4,Health,Health
3,3,Politik,Politik
2,2,Sports,Sports
2,2,Sports,Sports
0,0,Travel,Travel
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
2,2,Sports,Sports
4,4,Health,Health
2,2,Sports,Sports
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,4,Edukasi,Health
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
2,0,Sports,Travel
3,3,Politik,Politik
1,1,Edukasi,Edukasi
2,2,Sports,Sports
0,0,Travel,Travel
2,2,Sports,Sports
3,3,Politik,Politik
2,2,Sports,Sports
2,2,Sports,Sports
0,0,Travel,Travel
4,4,Health,Health
3,0,Politik,Travel
1,4,Edukasi,Health
2,2,Sports,Sports
3,0,Politik,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,4,Edukasi,Health
3,3,Politik,Politik
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
0,0,Travel,Travel
4,4,Health,Health
3,3,Politik,Politik
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
1,0,Edukasi,Travel
0,0,Travel,Travel
1,4,Edukasi,Health
0,0,Travel,Travel
3,3,Politik,Politik
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
1,0,Edukasi,Travel
0,0,Travel,Travel
4,4,Health,Health
3,2,Politik,Sports
4,4,Health,Health
3,4,Politik,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
4,4,Health,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
0,0,Travel,Travel
2,2,Sports,Sports
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
4,4,Health,Health
3,1,Politik,Edukasi
4,4,Health,Health
2,2,Sports,Sports
2,0,Sports,Travel
0,0,Travel,Travel
3,1,Politik,Edukasi
0,0,Travel,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,1,Edukasi,Edukasi
4,4,Health,Health
2,2,Sports,Sports
4,4,Health,Health
2,0,Sports,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,2,Politik,Sports
2,2,Sports,Sports
2,2,Sports,Sports
2,0,Sports,Travel
1,0,Edukasi,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
1,4,Edukasi,Health
3,3,Politik,Politik
1,4,Edukasi,Health
0,0,Travel,Travel
0,0,Travel,Travel
2,2,Sports,Sports
3,0,Politik,Travel
1,1,Edukasi,Edukasi
3,4,Politik,Health
1,1,Edukasi,Edukasi
2,0,Sports,Travel
3,3,Politik,Politik
3,3,Politik,Politik
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
3,3,Politik,Politik
1,4,Edukasi,Health
0,0,Travel,Travel
3,3,Politik,Politik
1,0,Edukasi,Travel
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,4,Politik,Health
3,3,Politik,Politik
1,4,Edukasi,Health
3,3,Politik,Politik
2,2,Sports,Sports
3,3,Politik,Politik
2,2,Sports,Sports
3,0,Politik,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
3,3,Politik,Politik
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,3,Politik,Politik
2,2,Sports,Sports
0,4,Travel,Health
1,4,Edukasi,Health
0,0,Travel,Travel
3,3,Politik,Politik
1,1,Edukasi,Edukasi
3,3,Politik,Politik
3,3,Politik,Politik
0,0,Travel,Travel
2,0,Sports,Travel
3,1,Politik,Edukasi
3,3,Politik,Politik
0,0,Travel,Travel
3,1,Politik,Edukasi
0,0,Travel,Travel
3,3,Politik,Politik
2,2,Sports,Sports
0,0,Travel,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,4,Edukasi,Health
1,1,Edukasi,Edukasi
2,0,Sports,Travel
0,0,Travel,Travel
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
1,0,Edukasi,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
0,0,Travel,Travel
2,2,Sports,Sports
3,3,Politik,Politik
0,0,Travel,Travel
4,4,Health,Health
3,0,Politik,Travel
4,4,Health,Health
3,3,Politik,Politik
1,4,Edukasi,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
1,4,Edukasi,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
3,3,Politik,Politik
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
4,4,Health,Health
4,4,Health,Health
3,3,Politik,Politik
1,0,Edukasi,Travel
0,0,Travel,Travel
4,4,Health,Health
1,4,Edukasi,Health
1,4,Edukasi,Health
4,4,Health,Health
3,0,Politik,Travel
2,2,Sports,Sports
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
1,4,Edukasi,Health
4,4,Health,Health
4,4,Health,Health
1,1,Edukasi,Edukasi
3,0,Politik,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
2,2,Sports,Sports
1,4,Edukasi,Health
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
2,2,Sports,Sports
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
2,2,Sports,Sports
2,0,Sports,Travel
4,4,Health,Health
3,3,Politik,Politik
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
2,0,Sports,Travel
4,4,Health,Health
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
3,3,Politik,Politik
0,0,Travel,Travel
2,0,Sports,Travel
0,0,Travel,Travel
4,4,Health,Health
3,4,Politik,Health
3,3,Politik,Politik
1,4,Edukasi,Health
2,2,Sports,Sports
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
3,2,Politik,Sports
1,4,Edukasi,Health
1,4,Edukasi,Health
0,0,Travel,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
3,3,Politik,Politik
2,2,Sports,Sports
3,0,Politik,Travel
2,2,Sports,Sports
2,2,Sports,Sports
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,1,Edukasi,Edukasi
4,1,Health,Edukasi
3,0,Politik,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
3,2,Politik,Sports
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
0,0,Travel,Travel
1,4,Edukasi,Health
2,0,Sports,Travel
1,1,Edukasi,Edukasi
2,2,Sports,Sports
3,4,Politik,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,3,Politik,Politik
2,2,Sports,Sports
1,4,Edukasi,Health
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
2,2,Sports,Sports
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
3,3,Politik,Politik
1,4,Edukasi,Health
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
1,1,Edukasi,Edukasi
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
2,2,Sports,Sports
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
2,2,Sports,Sports
4,4,Health,Health
0,0,Travel,Travel
3,3,Politik,Politik
3,3,Politik,Politik
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
2,0,Sports,Travel
2,0,Sports,Travel
1,4,Edukasi,Health
4,4,Health,Health
3,0,Politik,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,4,Edukasi,Health
0,0,Travel,Travel
1,4,Edukasi,Health
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
1,4,Edukasi,Health
2,2,Sports,Sports
3,3,Politik,Politik
1,1,Edukasi,Edukasi
2,2,Sports,Sports
2,2,Sports,Sports
4,4,Health,Health
2,0,Sports,Travel
4,4,Health,Health
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,0,Politik,Travel
0,0,Travel,Travel
2,0,Sports,Travel
3,0,Politik,Travel
1,4,Edukasi,Health
0,0,Travel,Travel
2,0,Sports,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
3,0,Politik,Travel
4,4,Health,Health
3,2,Politik,Sports
2,2,Sports,Sports
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
3,0,Politik,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
1,4,Edukasi,Health
0,0,Travel,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
2,2,Sports,Sports
0,0,Travel,Travel
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
4,4,Health,Health
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
2,2,Sports,Sports
4,4,Health,Health
3,3,Politik,Politik
1,0,Edukasi,Travel
4,4,Health,Health
2,2,Sports,Sports
3,1,Politik,Edukasi
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
2,2,Sports,Sports
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,4,Edukasi,Health
1,1,Edukasi,Edukasi
3,0,Politik,Travel
4,4,Health,Health
2,2,Sports,Sports
0,0,Travel,Travel
3,3,Politik,Politik
2,2,Sports,Sports
3,3,Politik,Politik
0,0,Travel,Travel
3,0,Politik,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
2,2,Sports,Sports
3,3,Politik,Politik
4,4,Health,Health
2,2,Sports,Sports
2,0,Sports,Travel
3,4,Politik,Health
2,0,Sports,Travel
4,4,Health,Health
3,0,Politik,Travel
4,4,Health,Health
2,2,Sports,Sports
0,0,Travel,Travel
3,3,Politik,Politik
3,4,Politik,Health
3,0,Politik,Travel
3,3,Politik,Politik
2,0,Sports,Travel
3,3,Politik,Politik
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,1,Edukasi,Edukasi
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
3,3,Politik,Politik
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
3,0,Politik,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,0,Politik,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,3,Politik,Politik
4,4,Health,Health
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
2,2,Sports,Sports
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
2,2,Sports,Sports
3,0,Politik,Travel
3,3,Politik,Politik
1,1,Edukasi,Edukasi
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
1,3,Edukasi,Politik
2,2,Sports,Sports
4,4,Health,Health
2,2,Sports,Sports
2,2,Sports,Sports
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
3,0,Politik,Travel
2,2,Sports,Sports
2,2,Sports,Sports
2,2,Sports,Sports
3,3,Politik,Politik
2,2,Sports,Sports
1,3,Edukasi,Politik
3,3,Politik,Politik
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
4,4,Health,Health
3,0,Politik,Travel
1,4,Edukasi,Health
4,4,Health,Health
2,2,Sports,Sports
3,0,Politik,Travel
0,0,Travel,Travel
1,0,Edukasi,Travel
0,0,Travel,Travel
2,2,Sports,Sports
3,0,Politik,Travel
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,4,Edukasi,Health
3,3,Politik,Politik
1,4,Edukasi,Health
3,3,Politik,Politik
0,0,Travel,Travel
3,3,Politik,Politik
3,3,Politik,Politik
4,4,Health,Health
0,0,Travel,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,3,Politik,Politik
0,0,Travel,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
4,4,Health,Health
1,4,Edukasi,Health
3,1,Politik,Edukasi
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,0,Politik,Travel
0,0,Travel,Travel
2,2,Sports,Sports
1,1,Edukasi,Edukasi
2,0,Sports,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
3,3,Politik,Politik
1,1,Edukasi,Edukasi
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
1,4,Edukasi,Health
4,4,Health,Health
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
0,0,Travel,Travel
4,4,Health,Health
2,0,Sports,Travel
3,3,Politik,Politik
3,3,Politik,Politik
1,4,Edukasi,Health
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
4,4,Health,Health
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
2,0,Sports,Travel
0,0,Travel,Travel
0,4,Travel,Health
0,0,Travel,Travel
2,2,Sports,Sports
0,0,Travel,Travel
2,2,Sports,Sports
2,2,Sports,Sports
0,0,Travel,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
3,1,Politik,Edukasi
4,4,Health,Health
0,0,Travel,Travel
1,1,Edukasi,Edukasi
0,0,Travel,Travel
1,1,Edukasi,Edukasi
3,3,Politik,Politik
4,4,Health,Health
2,2,Sports,Sports
2,0,Sports,Travel
1,0,Edukasi,Travel
0,0,Travel,Travel
3,0,Politik,Travel
4,0,Health,Travel
1,1,Edukasi,Edukasi
3,3,Politik,Politik
1,4,Edukasi,Health
1,1,Edukasi,Edukasi
2,2,Sports,Sports
4,4,Health,Health
1,1,Edukasi,Edukasi
2,0,Sports,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
3,3,Politik,Politik
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,2,Sports,Sports
0,0,Travel,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
2,2,Sports,Sports
2,0,Sports,Travel
3,3,Politik,Politik
4,4,Health,Health
4,4,Health,Health
2,0,Sports,Travel
4,4,Health,Health
1,1,Edukasi,Edukasi
3,0,Politik,Travel
0,0,Travel,Travel
0,0,Travel,Travel
0,0,Travel,Travel
2,2,Sports,Sports
3,3,Politik,Politik
3,0,Politik,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
2,0,Sports,Travel
3,3,Politik,Politik
2,2,Sports,Sports
2,2,Sports,Sports
1,1,Edukasi,Edukasi
2,2,Sports,Sports
1,4,Edukasi,Health
3,2,Politik,Sports
2,0,Sports,Travel
1,1,Edukasi,Edukasi
3,3,Politik,Politik
3,3,Politik,Politik
3,3,Politik,Politik
1,1,Edukasi,Edukasi
2,2,Sports,Sports
0,0,Travel,Travel
0,4,Travel,Health
0,0,Travel,Travel
4,4,Health,Health
4,4,Health,Health
3,4,Politik,Health
2,2,Sports,Sports
4,4,Health,Health
0,0,Travel,Travel
2,0,Sports,Travel
0,0,Travel,Travel
2,2,Sports,Sports
4,4,Health,Health
4,4,Health,Health
2,0,Sports,Travel
3,3,Politik,Politik
0,0,Travel,Travel
2,2,Sports,Sports
1,0,Edukasi,Travel
0,0,Travel,Travel
3,3,Politik,Politik
4,4,Health,Health
1,1,Edukasi,Edukasi
4,4,Health,Health
0,0,Travel,Travel
0,0,Travel,Travel
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
1,1,Edukasi,Edukasi
3,3,Politik,Politik
